room_type_reserved,required_car_parking_space,market_segment_type,type_of_meal_plan,lead_time,no_of_special_requests,avg_price_per_room,no_of_week_nights,no_of_adults,no_of_weekend_nights,no_of_children,no_of_previous_bookings_not_canceled,no_of_previous_cancellations,booking_status
0,0,4,0,99,2,72.25,1,2,2,0,0,0,1
3,0,4,0,38,1,91.9,1,1,1,0,0,0,1
0,0,2,0,27,1,88.0,1,1,0,0,11,0,1
0,0,4,3,4,0,140.0,0,2,1,0,0,0,0
0,0,3,0,3,0,80.0,0,1,1,0,0,0,1
0,0,4,0,103,0,88.4,2,2,2,0,0,0,0
0,0,4,3,0,0,115.0,3,2,1,0,0,0,1
0,0,4,0,33,2,85.5,2,1,0,0,0,0,1
5,1,4,0,8,1,205.0,2,2,0,2,0,0,1
0,0,4,0,66,1,92.7,2,2,1,0,0,0,1
0,0,4,0,204,1,94.59,5,2,2,0,0,0,0
0,0,4,3,111,1,107.1,2,2,0,0,0,0,1
0,0,3,3,4,0,152.2,1,2,0,1,0,0,1
0,0,4,0,6,2,163.33,1,2,2,0,0,0,1
0,0,4,0,66,1,119.85,3,2,2,0,0,0,1
0,0,4,3,71,0,88.0,2,2,0,0,0,0,0
0,0,4,3,13,2,99.0,0,2,2,0,0,0,1
0,0,2,0,31,1,95.0,3,1,2,0,0,0,1
0,0,2,0,1,0,90.0,2,1,0,0,0,0,1
0,0,4,0,89,0,84.9,1,1,2,0,0,0,1
0,0,3,0,8,0,56.0,2,1,0,0,0,0,1
0,0,4,0,157,1,121.5,2,2,0,1,0,0,0
0,0,4,3,4,2,91.5,1,2,1,0,0,0,1
0,0,3,0,3,0,110.0,3,1,1,0,0,1,1
0,0,4,3,85,0,94.5,2,2,2,0,0,0,0
5,0,4,0,9,0,221.0,2,2,1,2,0,0,0
0,0,4,0,14,2,126.0,1,2,1,0,0,0,1
0,0,3,0,102,0,75.0,2,2,1,0,0,0,1
6,0,1,0,0,0,0.0,1,1,0,0,1,0,1
0,0,4,3,96,0,116.1,0,2,1,0,0,0,1
0,0,2,0,4,1,65.0,2,1,1,0,3,1,1
0,0,4,0,138,1,71.67,2,2,2,0,0,0,1
3,0,4,0,18,0,191.0,2,3,1,0,0,0,1
0,0,4,0,4,0,0.0,0,1,0,0,0,0,1
0,0,4,3,134,0,79.2,1,2,2,0,0,0,0
0,0,4,0,0,1,112.0,4,2,0,1,0,0,1
0,0,4,3,83,0,83.59,2,1,0,0,0,0,1
0,0,4,0,11,0,97.0,5,1,2,0,0,0,0
0,0,3,1,23,0,102.0,1,1,2,1,0,0,1
3,0,4,0,67,2,151.2,3,3,1,0,0,0,1
0,0,4,3,99,0,125.1,2,2,1,0,0,0,0
0,0,4,0,16,0,109.0,2,2,0,0,0,0,0
6,0,4,0,40,0,201.95,2,3,1,0,0,0,0
0,0,4,0,104,0,105.3,1,2,1,0,0,0,0
0,0,4,3,167,0,80.75,4,2,0,0,0,0,0
3,0,0,0,17,0,110.0,8,1,4,0,0,0,0
0,0,4,0,27,2,91.83,1,1,2,0,0,0,1
0,0,4,0,3,0,96.0,0,1,1,0,0,0,1
